forecast_date,target_end_date,location,quantile,value
2025-03-22,2025-03-29,06,0.01,425
2025-03-22,2025-03-29,06,0.025,438
2025-03-22,2025-03-29,06,0.05,450
2025-03-22,2025-03-29,06,0.1,465
2025-03-22,2025-03-29,06,0.15,476
2025-03-22,2025-03-29,06,0.2,485
2025-03-22,2025-03-29,06,0.25,493
2025-03-22,2025-03-29,06,0.3,500
2025-03-22,2025-03-29,06,0.35,506
2025-03-22,2025-03-29,06,0.4,511
2025-03-22,2025-03-29,06,0.45,516
2025-03-22,2025-03-29,06,0.5,520
2025-03-22,2025-03-29,06,0.55,524
2025-03-22,2025-03-29,06,0.6,529
2025-03-22,2025-03-29,06,0.65,534
2025-03-22,2025-03-29,06,0.7,539
2025-03-22,2025-03-29,06,0.75,545
2025-03-22,2025-03-29,06,0.8,553
2025-03-22,2025-03-29,06,0.85,562
2025-03-22,2025-03-29,06,0.9,575
2025-03-22,2025-03-29,06,0.95,590
2025-03-22,2025-03-29,06,0.975,603
2025-03-22,2025-03-29,06,0.99,615
